0,1,2,3,4
7.772582178301301e-10,5.032661440633902e-10,9.999997620820514e-05,9.999999999781938e-05,7.772582181689433e-10
5.218601779551947e-10,3.3751194661356745e-10,9.999996372969219e-05,9.999999999667168e-05,5.218601777519068e-10
3.5038819034530124e-10,2.26351139180213e-10,9.99999447646806e-05,9.999999999492527e-05,3.503881900742507e-10
2.352622330346714e-10,1.5180254881624108e-10,9.999991597167542e-05,9.999999999227069e-05,2.352622324790178e-10
1.5796577990166791e-10,1.018072666778393e-10,9.999987230340947e-05,9.999999998823983e-05,1.5796577950864463e-10
1.0606752977283199e-10,6.827821093886507e-11,9.999980614402975e-05,9.999999998212558e-05,1.0606751149047286e-10
7.122143241106941e-11,4.579199412507121e-11,9.999970601387616e-05,9.999999997286077e-05,7.122142770834249e-11
4.782427882529805e-11,3.0711535297842617e-11,9.99995546271602e-05,9.999999995883659e-05,4.782427577597944e-11
3.2114051787832457e-11,2.059763705355034e-11,9.999932598225629e-05,9.999999993763006e-05,3.2114050175081725e-11
2.1565105387186256e-11,1.3814598431665347e-11,9.999898100727621e-05,9.999999990559592e-05,2.156510412680123e-11
1.4481628962952249e-11,9.265362525064276e-12,9.999846105028524e-05,9.99999998572556e-05,1.4481628461508744e-11
9.725106462320221e-12,6.2143056813682845e-12,9.999767815724654e-05,9.999999978438363e-05,9.725106787580873e-12
6.5309880306575405e-12,4.167970073351741e-12,9.99965005673828e-05,9.999999967464298e-05,6.530969355275119e-12
4.38607016103789e-12,2.7955449776904603e-12,9.999473109522885e-05,9.999999950954879e-05,4.3860668813263184e-12
2.9456494616544524e-12,1.8750375059030377e-12,9.999207494350428e-05,9.999999926143273e-05,2.9456450435305995e-12
1.978323985207288e-12,1.257646452799445e-12,9.99880918277979e-05,9.999999888892253e-05,1.978317845912486e-12
1.3286777819469797e-12,8.43542683620635e-13,9.998212483814846e-05,9.999999833021689e-05,1.328693258932992e-12
8.923775211616344e-13,5.657974360296497e-13,9.997319483967568e-05,9.99999974930906e-05,8.924037724067357e-13
5.993857347301804e-13,3.7951864144836894e-13,9.995984387525447e-05,9.99999962400552e-05,5.993920366553079e-13
4.0258269808080005e-13,2.5456893537612046e-13,9.99399031727688e-05,9.999999436634883e-05,4.0258707554707146e-13
2.704292004088518e-13,1.7075906389839995e-13,9.991014979897316e-05,9.99999915673225e-05,2.704342690540082e-13
1.816247483356695e-13,1.1452625414860862e-13,9.986579901801533e-05,9.999998739016287e-05,1.8162728265824768e-13
1.2200543310011969e-13,7.683278655228748e-14,9.979975449051515e-05,9.999998116249845e-05,1.220071271660142e-13
8.195367670084386e-14,5.153551739002504e-14,9.970150193159145e-05,9.999997188692503e-05,8.195508616366809e-14
5.505383475490344e-14,3.458861072992009e-14,9.955547844823432e-05,9.999995808533396e-05,5.5054241330718123e-14
3.698201413073615e-14,2.3200964261761714e-14,9.933867196052005e-05,9.999993756937816e-05,3.698265109951249e-14
2.485216351287567e-14,1.5561323388722792e-14,9.901709244338226e-05,9.999990710236036e-05,2.4853911788878802e-14
1.670935796411338e-14,1.0448632519095835e-14,9.854059578435852e-05,9.999986190166548e-05,1.6709385069167693e-14
1.1216423840068601e-14,6.987439056180267e-15,9.783531799942756e-05,9.999979490724637e-05,1.1217846855419988e-14
7.550316166553273e-15,4.7141381510212854e-15,9.679269045277856e-05,9.999969570720283e-05,7.550383929189053e-15
5.0669239854209125e-15,3.151897688159766e-15,9.52537104597667e-05,9.999954896122987e-05,5.0671408258554096e-15
3.4033648295406227e-15,2.1009669698424105e-15,9.298709611765571e-05,9.99993320894819e-05,3.40402890337127e-15
2.2863384362831196e-15,1.418759857860219e-15,8.966108338385046e-05,9.999901188781443e-05,2.2868805373693624e-15
1.5425215358494393e-15,9.481212473114176e-16,8.481382267857025e-05,9.99985395753797e-05,1.542480878267971e-15
1.0379202922475295e-15,6.209090316552923e-16,7.784456429599617e-05,9.999784355539959e-05,1.0378931871932173e-15
7.044874666267686e-16,4.1779730716728913e-16,6.809374926056574e-05,9.999681884316136e-05,7.040673382849305e-16
4.752058122003966e-16,2.7521116895828923e-16,5.5162983048076845e-05,9.999531164145599e-05,4.746366060598417e-16
3.201106914263452e-16,2.0670314418436142e-16,3.9621590067047557e-05,9.999309685727768e-05,3.1920267210688857e-16
